CustomerID,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,MonthlyTransactions,ComplaintFiled,SatisfactionScore,LoginFreqMonthly,Exited
15634602,Customer_0,667,France,Male,29,4,27016.51,2,1,0,94627.58,2,0,3,1,0
15634603,Customer_1,602,Spain,Male,44,5,55378.01,1,1,1,63022.5,7,1,4,15,1
15634604,Customer_2,546,Germany,Male,52,10,125772.17,1,0,0,60054.2,0,0,4,2,0
15634605,Customer_3,737,Germany,Female,24,4,13465.88,1,1,1,151353.42,9,0,3,14,0
15634606,Customer_4,602,France,Male,56,8,97766.49,1,1,1,109972.46,6,0,5,10,0
15634607,Customer_5,666,France,Female,36,1,0.0,2,1,1,42084.98,6,0,3,13,0
15634608,Customer_6,642,France,Male,27,9,189716.93,4,1,1,108490.78,6,0,4,10,1
15634609,Customer_7,609,Spain,Female,46,5,236194.91,2,1,1,40873.59,11,0,5,6,0
15634610,Customer_8,612,Germany,Female,33,3,110851.67,1,1,0,101886.59,6,1,3,2,0
15634611,Customer_9,648,Germany,Female,37,2,0.0,1,1,0,96406.46,1,0,1,2,1
15634612,Customer_10,763,France,Female,33,4,93485.82,2,1,1,32625.24,8,0,4,13,0
15634613,Customer_11,680,Spain,Female,29,1,83518.37,2,1,0,31841.84,2,0,3,5,0
15634614,Customer_12,794,Spain,Female,45,2,0.0,2,0,1,27186.41,9,0,3,11,0
15634615,Customer_13,597,France,Male,34,6,87454.7,1,1,1,151737.84,9,0,2,13,0
15634616,Customer_14,659,France,Male,22,0,0.0,1,1,1,38025.26,15,0,3,11,1
15634617,Customer_15,535,France,Male,44,1,0.0,4,1,0,106069.62,4,0,4,7,0
15634618,Customer_16,713,France,Male,24,2,0.0,3,1,0,27866.23,1,0,5,2,0
15634619,Customer_17,750,Germany,Male,25,9,0.0,2,0,1,145261.02,8,0,5,9,0
15634620,Customer_18,719,France,Male,51,6,158638.32,1,0,1,65340.42,8,0,4,14,0
15634621,Customer_19,737,France,Male,24,3,22963.37,2,0,0,24904.64,5,1,1,1,1
15634622,Customer_20,648,Germany,Male,18,7,95497.18,1,1,1,94167.94,5,0,2,11,0
15634623,Customer_21,692,France,Male,44,7,0.0,1,1,1,159398.59,5,1,1,11,1
15634624,Customer_22,735,France,Female,34,0,0.0,2,1,0,102569.86,2,1,1,1,1
15634625,Customer_23,759,France,Male,35,4,500.0,2,0,0,96402.22,0,1,2,3,1
15634626,Customer_24,649,France,Female,34,0,0.0,1,1,1,60586.62,9,0,4,10,0
15634627,Customer_25,591,Spain,Male,40,6,500.0,2,1,1,63341.59,6,0,5,11,0
15634628,Customer_26,782,France,Female,29,3,77825.98,2,1,1,149286.49,9,0,2,12,0
15634629,Customer_27,659,Germany,Female,54,7,500.0,2,1,1,101998.44,13,0,4,8,0
15634630,Customer_28,646,Germany,Female,21,7,54118.43,1,0,0,53615.17,0,1,5,2,0
15634631,Customer_29,582,France,Female,42,8,0.0,1,1,0,153107.1,2,0,5,4,0
15634632,Customer_30,641,Germany,Male,45,10,53663.54,2,1,0,57685.46,1,0,2,4,0
15634633,Customer_31,616,France,Female,29,5,0.0,2,1,1,199049.53,6,0,5,12,0
15634634,Customer_32,561,France,Female,26,6,124317.11,2,1,0,104439.2,3,0,4,2,0
15634635,Customer_33,571,Spain,Female,49,6,0.0,1,1,0,89910.65,3,1,5,0,0
15634636,Customer_34,707,Spain,Female,27,4,0.0,1,1,1,96646.85,8,0,5,14,0
15634637,Customer_35,624,Spain,Male,31,6,500.0,1,0,0,153335.2,2,0,2,2,1
15634638,Customer_36,664,France,Female,47,8,500.0,1,1,0,150643.37,1,0,3,3,0
15634639,Customer_37,627,France,Male,38,10,0.0,1,1,0,58542.93,4,0,5,6,0
15634640,Customer_38,561,Germany,Female,18,3,0.0,1,0,1,98846.64,9,1,2,21,1
15634641,Customer_39,764,France,Male,57,1,153388.54,2,1,1,28185.86,7,1,2,10,1
15634642,Customer_40,675,France,Female,32,7,94353.66,2,0,1,63672.71,12,0,3,16,0
15634643,Customer_41,716,France,Male,33,6,92387.93,2,1,1,147474.92,9,0,2,8,0
15634644,Customer_42,690,France,Male,40,5,70548.97,2,0,1,53263.66,7,0,1,12,0
15634645,Customer_43,641,Spain,Female,44,6,176159.16,2,1,0,71082.22,2,0,4,3,0
15634646,Customer_44,602,France,Female,59,2,0.0,1,0,1,60039.2,5,0,4,16,0
15634647,Customer_45,495,Germany,Female,19,5,116647.51,1,1,1,97708.96,7,1,2,15,1
15634648,Customer_46,459,France,Male,47,9,90736.45,1,0,0,163962.52,2,1,4,4,0
15634649,Customer_47,730,Germany,Male,46,6,0.0,2,1,1,95770.04,6,0,5,9,0
15634650,Customer_48,747,Germany,Female,36,6,204846.78,1,1,1,154930.73,10,0,4,9,0
15634651,Customer_49,772,France,Female,46,4,0.0,1,1,1,147211.5,10,0,3,13,0
15634652,Customer_50,639,Spain,Female,48,2,0.0,1,1,0,88972.72,5,1,2,3,1
15634653,Customer_51,585,Spain,Male,22,1,136523.99,2,0,0,63591.81,6,0,4,5,0
15634654,Customer_52,708,Spain,Female,57,6,0.0,2,1,1,57094.4,4,0,3,13,0
15634655,Customer_53,767,Spain,Male,20,3,107686.08,1,1,1,102991.95,8,0,3,18,0
15634656,Customer_54,815,Germany,Male,25,1,34395.47,1,1,1,150792.93,4,0,1,11,1
15634657,Customer_55,621,Spain,Male,35,7,77489.94,1,1,0,105192.32,5,0,4,6,0
15634658,Customer_56,740,France,Male,59,1,500.0,1,1,0,153374.86,3,0,1,3,1
15634659,Customer_57,695,France,Female,34,5,17714.64,1,1,0,66035.45,2,0,3,2,0
15634660,Customer_58,654,France,Male,37,3,0.0,1,1,0,149670.85,2,1,3,5,1
15634661,Customer_59,588,France,Male,53,8,27492.75,2,0,1,99436.91,9,0,5,8,0
15634662,Customer_60,772,France,Male,34,4,0.0,1,0,0,55262.17,2,0,2,0,1
15634663,Customer_61,761,France,Male,25,3,40929.77,2,1,0,59057.33,3,0,3,7,0
15634664,Customer_62,634,Spain,Female,33,7,0.0,1,1,0,28106.6,3,1,5,2,0
15634665,Customer_63,722,France,Male,53,2,0.0,2,1,0,149480.44,2,0,4,4,0
15634666,Customer_64,709,France,Male,38,8,21733.13,2,1,0,109385.88,1,0,5,3,0
15634667,Customer_65,711,Germany,Female,59,7,122604.02,2,0,1,102394.46,8,0,4,16,0
15634668,Customer_66,561,France,Female,46,7,187082.77,2,0,1,192208.73,7,1,5,13,0
15634669,Customer_67,561,Spain,Female,30,9,122043.41,2,1,0,162016.79,3,0,3,5,0
15634670,Customer_68,634,France,Male,38,4,1089.18,2,1,0,147141.35,2,0,5,3,0
15634671,Customer_69,689,Spain,Female,28,0,95463.63,1,1,0,62791.03,1,0,5,1,0
15634672,Customer_70,819,Spain,Female,30,10,158157.11,1,1,1,66972.98,7,0,4,18,0
15634673,Customer_71,510,France,Female,87,9,37981.12,1,1,0,98183.09,0,0,4,3,0
15634674,Customer_72,757,France,Female,49,8,0.0,1,0,0,59061.57,2,0,4,2,0
15634675,Customer_73,528,Spain,Male,47,1,23846.97,1,0,1,63841.0,8,0,4,14,0
15634676,Customer_74,672,Germany,Female,31,0,0.0,1,0,1,69109.76,5,0,3,15,0
15634677,Customer_75,473,Germany,Male,55,5,58156.12,2,1,0,28522.67,0,0,1,0,1
15634678,Customer_76,781,Spain,Male,50,0,88395.04,2,0,0,101199.21,0,0,5,5,0
15634679,Customer_77,676,France,Male,58,9,156571.75,2,1,1,28775.64,11,0,3,13,0
15634680,Customer_78,690,France,Male,58,9,0.0,1,0,1,97067.79,9,0,5,9,0
15634681,Customer_79,729,France,Female,21,9,60610.98,1,1,1,52024.0,10,0,4,11,0
15634682,Customer_80,623,Spain,Female,25,6,0.0,1,1,0,91779.98,3,0,5,4,0
15634683,Customer_81,484,Germany,Female,26,6,60291.61,2,0,0,147634.73,1,0,4,4,1
15634684,Customer_82,480,France,Female,27,0,0.0,3,1,0,109927.55,1,1,2,2,1
15634685,Customer_83,702,France,Male,41,9,0.0,1,1,1,60545.14,4,0,5,12,0
15634686,Customer_84,624,France,Male,31,4,75316.88,2,0,0,23566.3,3,0,4,1,0
15634687,Customer_85,765,France,Female,60,2,169490.32,2,1,1,56619.05,11,0,3,11,0
15634688,Customer_86,654,Germany,Female,58,10,0.0,1,1,1,66833.6,9,0,3,14,0
15634689,Customer_87,714,Germany,Male,37,1,71972.31,3,0,1,153680.43,10,1,5,12,1
15634690,Customer_88,738,Spain,Female,59,10,873.51,1,1,0,199999.0,2,0,3,3,0
15634691,Customer_89,737,France,Male,54,4,108319.29,2,0,0,156768.2,1,0,2,7,0
15634692,Customer_90,627,France,Male,33,4,114878.34,2,1,1,94578.02,9,0,5,18,0
15634693,Customer_91,659,Germany,Male,18,1,500.0,1,1,0,55101.03,1,0,5,3,0
15634694,Customer_92,730,Spain,Male,35,5,58608.76,1,1,1,65111.46,12,0,5,11,0
15634695,Customer_93,674,Germany,Female,30,6,500.0,1,0,0,55857.43,1,0,4,5,0
15634696,Customer_94,480,Spain,Female,40,0,0.0,1,1,0,148334.1,1,1,2,3,1
15634697,Customer_95,442,France,Male,38,2,0.0,2,0,1,150657.35,9,0,4,17,0
15634698,Customer_96,592,Germany,Female,38,3,0.0,2,1,1,28495.74,14,0,5,17,0
15634699,Customer_97,740,France,Female,43,1,140685.22,2,1,0,67036.54,1,0,5,2,0
15634700,Customer_98,652,France,Male,24,9,111659.81,2,1,1,107097.2,6,1,5,13,0
15634701,Customer_99,802,France,Male,42,10,16595.6,1,1,1,35311.38,6,0,4,10,0
15634702,Customer_100,727,France,Female,33,4,105634.97,1,1,1,65771.71,4,1,3,18,0
