CustomerID,Geography,Gender,Age,AgeGroup,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScore,MonthlyTransactions,ComplaintFiled,SatisfactionScore,LoginFreqMonthly,EngagementScore,HighValueCustomer,RF_ChurnProb,LR_ChurnProb,RF_ChurnPred,RiskSegment,Exited,ChurnLabel,ActiveLabel,HasCardLabel,ComplaintLabel,RF_ChurnProb_Pct,BalanceBand,CreditTier
15634602,France,Male,29,26-35,4,27016.51,2,1,0,94627.58,667,2,0,3,1,0.7,0,0.3627572405608286,0.3785924422273075,0,Medium,0,Retained,Inactive,Has Card,No Complaint,36.3,$25-75K,Fair
15634603,Spain,Male,44,36-45,5,55378.01,1,1,1,63022.5,602,7,1,4,15,6.75,0,0.5920197685984371,0.5112013686122111,1,High,1,Churned,Active,Has Card,Complaint,59.2,$25-75K,Fair
15634604,Germany,Male,52,46-55,10,125772.17,1,0,0,60054.2,546,0,0,4,2,0.4,1,0.1215889111649985,0.1172761865585405,0,Low,0,Retained,Inactive,No Card,No Complaint,12.2,$75-150K,Poor
15634605,Germany,Female,24,18-25,4,13465.88,1,1,1,151353.42,737,9,0,3,14,7.05,0,0.1211866253622192,0.1749547785573143,0,Low,0,Retained,Active,Has Card,No Complaint,12.1,$1-25K,Good
15634606,France,Male,56,56-65,8,97766.49,1,1,1,109972.46,602,6,0,5,10,5.5,0,0.0405920902652469,0.0264741879369605,0,Low,0,Retained,Active,Has Card,No Complaint,4.1,$75-150K,Fair
15634607,France,Female,36,36-45,1,0.0,2,1,1,42084.98,666,6,0,3,13,6.1,0,0.2330771312602553,0.3209365231716595,0,Low,0,Retained,Active,Has Card,No Complaint,23.3,Zero,Fair
15634608,France,Male,27,26-35,9,189716.93,4,1,1,108490.78,642,6,0,4,10,5.5,1,0.3803996626347222,0.0377496588047047,0,Medium,1,Churned,Active,Has Card,No Complaint,38.0,$150K+,Fair
15634609,Spain,Female,46,46-55,5,236194.91,2,1,1,40873.59,609,11,0,5,6,5.95,1,0.0746864243926282,0.0154177953550847,0,Low,0,Retained,Active,Has Card,No Complaint,7.5,$150K+,Fair
15634610,Germany,Female,33,26-35,3,110851.67,1,1,0,101886.59,612,6,1,3,2,1.9,1,0.618394975870622,0.8651720050091015,1,High,0,Retained,Inactive,Has Card,Complaint,61.8,$75-150K,Fair
15634611,Germany,Female,37,36-45,2,0.0,1,1,0,96406.46,648,1,0,1,2,0.65,0,0.8480085970328298,0.9032918833966298,1,Critical,1,Churned,Inactive,Has Card,No Complaint,84.8,Zero,Fair
15634612,France,Female,33,26-35,4,93485.82,2,1,1,32625.24,763,8,0,4,13,6.6,0,0.0087777852937574,0.0632667544585868,0,Low,0,Retained,Active,Has Card,No Complaint,0.9,$75-150K,Very Good
15634613,Spain,Female,29,26-35,1,83518.37,2,1,0,31841.84,680,2,0,3,5,1.5,0,0.2495208131887538,0.4263092714819788,0,Low,0,Retained,Inactive,Has Card,No Complaint,25.0,$75-150K,Good
